id,value
exports,
exports.trade,
exports.trade.food,127728
exports.trade.industrial,417062
exports.trade.capital,539700
exports.trade.auto goods,151918
exports.trade.consumer,197284
exports.trade.other,54947
exports.services,
exports.services.maintenance,24035
exports.services.transport,87222
exports.services.travel,204523
exports.services.insurance,17142
exports.services.finance,102460
exports.services.intellectual,124663
exports.services.telecom,35894
exports.services.other,134647
exports.services.government,20271
